name,market value,manager id,plandid,acctid,assetclass,assetclass id
VANGUARD VALUE ,,92,13,337047218,Fixed Income,6
VANGUARD GROWTH ,,92,13,337047245,Fixed Income,6
CAUSEWAY INTL ,,143,13,337047253,Global Equity,8
Alternative Investments Advisory ,,144,13,337047257,Alternative Investments,2
Alternative Investments Advisory ,,144,13,337047265,Alternative Investments,2
HARDING LOEVNER ,,65,13,337047268,Global Equity,8
BOSTON PARTNERS ,,145,13,337047271,Equity,1
Foundry Partners ,,61,13,337048233,Equity,1
Ishares Core S&P 500 ,,146,13,337049311,Fixed Income,6
Vanguard FTSE Dev Mkt ETF ,,92,13,337049324,Fixed Income,6
Ishares Core MSCI Emg Mkt ,,146,13,337049345,Fixed Income,6
Cash,,147,13,337139772,Cash,14
Western Asset - Core Plus - SMASH,,96,13,337139773,Equity,1
SAGE INTERM ,,83,13,337139774,Equity,1
TCW ,,148,13,337139775,Equity,1
APEX ,,49,13,337139776,Equity,1
BLACKROCK HY ,,53,13,337139777,Fixed Income,6
