account_number,acct_name,cusip,asset_name,shares,market_value
180665,ARISTOTLE LG VALUE,00287Y109,ABBVIE INC USD 0.01,3662,362904
180665,ARISTOTLE LG VALUE,00404A109,ACADIA HEALTHCARE CO INC USD 0.01,7330,292907
180665,ARISTOTLE LG VALUE,00724F101,ADOBE SYST COM USD0.0001,2815,713152
180665,ARISTOTLE LG VALUE,00130H105,AES CORP USD 0.01,18050,233387
180665,ARISTOTLE LG VALUE,03076C106,AMERIPRISE COM STK USD0.01,2600,364780
180665,ARISTOTLE LG VALUE,031162100,AMGEN INC USD 0.0001,2170,402405
180665,ARISTOTLE LG VALUE,03662Q105,ANSYS INC COM USD0.01,2300,386607
180665,ARISTOTLE LG VALUE,039483102,ARCHER-DANIELS MIDLAND CO NPV,5700,251313
180665,ARISTOTLE LG VALUE,05946K101,BANCO BILBAO VIZCAYA A EUR 0.49 ADR,42642,299773
180665,ARISTOTLE LG VALUE,060505104,BK OF AMER COM USD0.01,16400,482160
180665,ARISTOTLE LG VALUE,05561Q201,BOK FINL CORP USD 0.00006,2400,248520
180665,ARISTOTLE LG VALUE,14040H105,CAPITAL ON COM USD0.01,3400,324496
180665,ARISTOTLE LG VALUE,H1467J104,CHUBB LTD CHF 24.15,2150,283327
180665,ARISTOTLE LG VALUE,191216100,COCA COLA CO USD 0.25,8439,367012
180665,ARISTOTLE LG VALUE,229899109,CULLEN / FROST BANKERS INC USD 0.01,2050,240527
180665,ARISTOTLE LG VALUE,235851102,DANAHER CORP USD 0.01,4307,438754
180665,ARISTOTLE LG VALUE,27579R104,EAST WEST BANCORP INC USD 0.001,4875,349099
180665,ARISTOTLE LG VALUE,26884L109,EQT CORP NPV,3890,196562
180665,ARISTOTLE LG VALUE,369550108,GENERAL DYNAMICS CORP USD 1.0,1950,395070
180665,ARISTOTLE LG VALUE,406216101,HALLIBURTON CO USD,6640,318388
180665,ARISTOTLE LG VALUE,437076102,HOME DEPOT INC USD 0.05,2650,507104
180665,ARISTOTLE LG VALUE,G51502105,JOHNSON CONTROLS INTERNATI USD 0.01,8833,301029
180665,ARISTOTLE LG VALUE,46625H100,JPMORGAN CHASE + CO USD 1.0,2600,281970
180665,ARISTOTLE LG VALUE,501044101,KROGER CO USD 1.0,10400,257400
180665,ARISTOTLE LG VALUE,526057104,LENNAR CORP USD 0.1,6300,328041
180665,ARISTOTLE LG VALUE,526057302,LENNAR CORP USD 0.1,126,5235
180665,ARISTOTLE LG VALUE,573284106,MARTIN MARIETTA MATLS INC USD 0.01,1650,375111
180665,ARISTOTLE LG VALUE,G5960L103,MEDTRONIC PLC USD 0.1,4250,371960
180665,ARISTOTLE LG VALUE,595017104,MICROCHIP TECHNOLOGY INC USD 0.001,4650,471557
180665,ARISTOTLE LG VALUE,594918104,MICROSOFT COM USD0.00000625,5250,533768
180665,ARISTOTLE LG VALUE,606822104,MITSUBISHI UFJ FINL GROUP I NPV ADR,32150,201259
180665,ARISTOTLE LG VALUE,609207105,MONDELEZ INTL INC NPV,6300,250614
180665,ARISTOTLE LG VALUE,636180101,NATIONAL FUEL GAS CO USD 1.0,5200,273676
180665,ARISTOTLE LG VALUE,66987V109,NOVARTIS AG CHF 0.5 ADR,3600,272736
180665,ARISTOTLE LG VALUE,688239201,OSHKOSH CORP USD 0.01,4650,343728
180665,ARISTOTLE LG VALUE,70450Y103,PAYPAL HLDGS INC USD 0.0001,4750,401708
180665,ARISTOTLE LG VALUE,718546104,PHILLIPS 66 USD 0.01,3750,447000
180665,ARISTOTLE LG VALUE,723787107,PIONEER NAT RES CO USD 0.01,1450,276443
180665,ARISTOTLE LG VALUE,693506107,PPG INDS INC USD 1.67,3167,324396
180665,ARISTOTLE LG VALUE,835699307,SONY CORP NPV ADR,6687,328198
180665,ARISTOTLE LG VALUE,904784709,"UNILEVER 0.00 NOV 6,20 EUR 0.16 ADR",5900,331344
180665,ARISTOTLE LG VALUE,931427108,WALGREENS BOOTS ALLIANCE I USD 0.01,4300,272190
187096,POLEN CAP US LC GROWTH ,G1151C101,ACCENTURE PLC USD 0.000023,3548,565658
187096,POLEN CAP US LC GROWTH ,00724F101,ADOBE SYST COM USD0.0001,4417,1119003
187096,POLEN CAP US LC GROWTH ,016255101,ALIGN TECHNOLOGY INC USD 0.0001,1845,633204
187096,POLEN CAP US LC GROWTH ,02079K305,ALPHABET INC CLASS A,247,284801
187096,POLEN CAP US LC GROWTH ,02079K107,ALPHABET INC CLASS C,680,774717
187096,POLEN CAP US LC GROWTH ,053015103,AUTOMATIC DATA PROCESSING I USD 0.1,5001,671384
187096,POLEN CAP US LC GROWTH ,09857L108,BOOKING HLDGS INC USD 0.008,145,308241
187096,POLEN CAP US LC GROWTH ,256677105,DOLLAR GEN CORP NEW USD 0.875,4816,438256
187096,POLEN CAP US LC GROWTH ,30303M102,FACEBOOK INC USD 0.000006,2656,513352
187096,POLEN CAP US LC GROWTH ,366651107,GARTNER INC USD 0.0005,3822,517575
187096,POLEN CAP US LC GROWTH ,57636Q104,MASTERCARD INC,1628,321904
187096,POLEN CAP US LC GROWTH ,594918104,MICROSOFT COM USD0.00000625,7791,792111
187096,POLEN CAP US LC GROWTH ,641069406,NESTLE S A CHF 1.0 ADR,4600,349922
187096,POLEN CAP US LC GROWTH ,654106103,NIKE INC CLASS B COM NPV,9143,675028
187096,POLEN CAP US LC GROWTH ,67103H107,O REILLY AUTOMOTIVE INC NE USD 0.01,1949,541276
187096,POLEN CAP US LC GROWTH ,68389X105,ORACLE CORP USD 0.01,11431,540915
187096,POLEN CAP US LC GROWTH ,75886F107,REGENERON PHARMACEUTICALS USD 0.001,994,310217
187096,POLEN CAP US LC GROWTH ,855244109,STARBUCKS COM USD0.001,8291,473167
187096,POLEN CAP US LC GROWTH ,92826C839,VISA INC USD 0.0001,5836,776597
187096,POLEN CAP US LC GROWTH ,98978V103,ZOETIS INC USD 0.01,6335,540946
406359,HARDING LOEVNER,001317205,AIA GROUP LTD HKD 1.0 ADR,7590,279692
406359,HARDING LOEVNER,009126202,AIR LIQUIDE EUR 11.0 ADR,9300,234407
406359,HARDING LOEVNER,015393101,ALFA LAVAL AB SWEDEN,3170,80962
406359,HARDING LOEVNER,018805101,ALLIANZ SE ADR EACH REP 1/10 ORD S,8869,187668
406359,HARDING LOEVNER,04530Y106,ASPEN PHARMACARE HLDGS LTD ADR,3225,66290
406359,HARDING LOEVNER,049255706,ATLAS COPC SPON ADR(CNV 1 SER'A'NPV,2150,86613
406359,HARDING LOEVNER,056752108,BAIDU COM INC USD 0.00005 ADR,955,249160
406359,HARDING LOEVNER,05946K101,BANCO BILBAO VIZCAYA A EUR 0.49 ADR,19590,137718
406359,HARDING LOEVNER,072730302,BAYER A G NPV ADR,8340,251493
406359,HARDING LOEVNER,072743305,BAYERISCHE MOTOREN WERKE A NPV ADR,2190,73431
406359,HARDING LOEVNER,05530H100,BBA AVIATION PLC 29.76P ADR,1610,36547
406359,HARDING LOEVNER,136375102,CANADIAN NATL RY CO NPV,1700,183243
406359,HARDING LOEVNER,M22465104,CHECK POINT SOFTWARE TECHN USD 0.01,1470,145016
406359,HARDING LOEVNER,12637N204,CSL LTD NPV ADR,1270,91491
406359,HARDING LOEVNER,23405X209,DAITO TR CONSTR CO LTD NPV ADR,1220,49300
406359,HARDING LOEVNER,237545108,DASSAULT SYS S A NPV ADR,1463,208148
406359,HARDING LOEVNER,23304Y100,DBS GROUP SPON ADR REP 4 ORD NPV,1860,161690
406359,HARDING LOEVNER,307305102,FANUC CORP,8770,183293
406359,HARDING LOEVNER,358029106,FRESENIUS MED CARE AKTIENGE NPV ADR,2640,132026
406359,HARDING LOEVNER,35952Q106,FUCHS PETROLUB SE NPV,5420,72194
406359,HARDING LOEVNER,398438408,GRIFOLS S A EUR 0.5 ADR,2710,60812
406359,HARDING LOEVNER,40052P107,GRUPO FINANCIERO BANORTE S NPV ADR,2400,65856
406359,HARDING LOEVNER,40415F101,HDFC BK LTD INR 10.0 ADR,630,64720
406359,HARDING LOEVNER,404280406,HSBC HLDGS PLC USD 0.5 ADR,1590,78037
406359,HARDING LOEVNER,45104G104,ICICI BK LTD INR 10.0 ADR,7410,62244
406359,HARDING LOEVNER,45662N103,INFINEON TECHNOLOGIES AG NPV ADR,3740,104140
406359,HARDING LOEVNER,465562106,ITAU UNIBANCO HOLDING S.A.,7790,93246
406359,HARDING LOEVNER,466140100,JGC CORP NPV ADR,2080,86715
