acctid,Account,Name,CUSIP,Shares,Market Value,Ticker
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , AT&T INC CALLABLE DTD 05/04/2015 2.45% 06/30/2020-2020 ,00206RCL4,115000,115949,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , ALABAMA POWER CO CALLABLE 5.875% 12/01/2022 ,010392EB0,80000,92443,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , ALA ST PUB SCH & COLLEGE AUTH CAP IMPT POOL-QUAL SCH CONS BDS FED TAXABLE NON CALLABLE REV BD 8/26/10 5.15% 09/01/2027 ,0106085M5,75000,88250,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , ALLSTATE CORP DTD 5/13/09 7.45% 05/16/2019 ,020002AX9,55000,59777,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , BANK OF AMERICA CORP DTD 06/22/2010 5.625% 07/01/2020 ,06051GEC9,100000,108908,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , BRANCH BANKING & TRUST SERIES BKNT CALLABLE DTD 09/26/2013 2.3% 10/15/2018-2018 ,07330NAD7,40000,40232,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , BRANCH BANKING & TRUST CALLABLE DTD 01/26/2017 2.625% 01/15/2022-2021 ,07330NAQ8,110000,111840,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , BERKSHIRE HATHAWAY FIN DTD 05/15/2012 3% 05/15/2022 ,084664BT7,85000,87972,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , BERKSHIRE HATHAWAY INC CALLABLE DTD 03/15/2016 3.125% 03/15/2026-2025 ,084670BS6,60000,60869,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , CATERPILLAR INC DTD 05/27/2011 3.9% 05/27/2021 ,149123BV2,70000,74277,
AFL-AGC-1,MANAGEMENT FIXED ACCOUNT , CHEVRON CORP CALLABLE DTD 06/24/2013 3.191% 06/24/2023-2023 ,166764AH3,115000,119326,
