IWMS-1,ADOBE SYS INC COM,00724F101,ADBE,280,41017.20 ,SOFTWARE
IWMS-1,ALPHABET INC - CL C,02079K107,GOOG,115,107007.50 ,INTERNET SOFTWARE AND SERVICES
IWMS-1,ALPHABET INC CL A,02079K305,GOOGL,110,104005.00 ,INTERNET SOFTWARE AND SERVICES
IWMS-1,AMAZON.COM INC ,23135106,AMZN,145,143228.10 ,CONSUMER DISCRETIONARY
IWMS-1,AMERICAN  TOWER COM NEW,03027X100,AMT,695,94749.35 ,EQUITY REITS
IWMS-1,ARCONIC INC,03965L100,ARNC,3338,82749.02 ,AEROSPACE AND DEFENSE
IWMS-1,ASHLAND GLOBAL HOLDINGS,44186104,ASH,1415,91932.55 ,CHEMICALS
IWMS-1,AUTOZONE INC COM,53332102,AZO,145,78273.90 ,SPECIALTY RETAIL
IWMS-1,BALL CORP,58498106,BLL,930,38967.00 ,CONTAINERS AND PACKAGING
IWMS-1,BIOMARIN PHARMACEUTICAL INC COM,09061G101,BMRN,1540,135104.20 ,BIOTECHNOLOGY
IWMS-1,BIOGEN INC,09062X103,BIIB,425,123075.75 ,HEALTH CARE EQUIP AND SUPPLIES
IWMS-1,BRISTOL-MYERS SQUIBB COMMON STOCK,110122108,BMY,1950,110955.00 ,PHAMACEUTICALS
IWMS-1,CF INDS HLDGS INC COM,125269100,CF,1200,35220.00 ,CHEMICALS
IWMS-1,CAMPBELL SOUP CO COM,134429109,CPB,1595,84263.85 ,FOOD PRODUCTS
IWMS-1,CERNER CORP,156782104,CERN,820,52783.40 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-1,COCA COLA COMPANY,191216100,KO,1210,55466.40 ,BEVERAGES
IWMS-1,DAVITA  HEALTHCARE PARTNERS INC,23918K108,DVA,950,61541.00 ,HEALTH CARE
IWMS-1,DICKS SPORTING GOODS INC COM,253393102,DKS,2380,88869.20 ,OTHER CONSUMER DISCRETIONARY
IWMS-1,E*TRADE,269246401,ETFC,2315,94915.00 ,CAPITAL MARKETS
IWMS-1,ELECTRONIC,285512109,EA,2070,241651.80 ,SOFTWARE
IWMS-1,MANNING & NAPIER NON U S EQUITY LABOR CIT,302027743,,368558.667,3958320.08 ,
IWMS-1,EXPRESS SCRIPTS HLDG CO COM,30219G108,ESRX,2400,150336.00 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-1,FACEBOOK INC,30303M102,FB,1165,197176.25 ,INTERNET SOFTWARE AND SERVICES
IWMS-1,FEDEX CORP COM,31428X106,FDX,640,133139.20 ,AIR FREIGHT AND LOGISTICS
IWMS-1,HOUGHTON MIFFLIN HARCOURT CO,44157R109,HMHC,7135,85263.25 ,CONSUMER DISCRETIONARY
IWMS-1,INTUITIVE SURGICAL INC,46120E602,ISRG,120,112591.20 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-1,JOHNSON & JOHNSON COM,478160104,JNJ,1440,191116.80 ,HEALTH CARE EQUIP AND SUPPLIES
IWMS-1,MASTERCARD INC,57636Q104,MA,1115,142497.00 ,OTHER INFORMATION TECHNOLOGY
IWMS-1,MICROSOFT CORP CORPORATION ,594918104,MSFT,1575,114502.50 ,SOFTWARE
IWMS-1,FEDERATED GOVERNMENT OBLIGATION #395,60934N807,FED395,105334.74,105334.74 ,
IWMS-1,MONSANTO CO ,61166W101,MON,1040,121492.80 ,CHEMICALS
IWMS-1,NIKE INC CL B,654106103,NKE,1655,97727.75 ,TEXTILES  APPAREL LUXURY GOODS
IWMS-1,O'REILLY AUTOMOTIVE INC,67103H107,ORLY,335,68440.50 ,AUTO COMPONENTS
IWMS-1,PRICELINE  THE PRICELINE GROUP INC,741503403,PCLN,160,324560.00 ,OTHER FINANCIALS
IWMS-1,QORVO INC,74736K101,QRVO,1985,136091.60 ,OTHER INFORMATION TECHNOLOGY
IWMS-1,REGENERON,75886F107,REGN,190,93407.80 ,PHAMACEUTICALS
IWMS-1,SBA COMMUNICATIONS CORP,78410G104,SBAC,680,93534.00 ,EQUITY REITS
IWMS-1,SALESFORCE.COM,79466L302,CRM,1100,99880.00 ,SOFTWARE
IWMS-1,SEALED AIR CORP,81211K100,SEE,1490,64829.90 ,CONTAINERS AND PACKAGING
IWMS-1,SERVICENOW,81762P102,NOW,1010,111554.50 ,IT SERVICES
IWMS-1,SKYWORKS SOLUTIONS INC,83088M102,SWKS,1510,158353.70 ,SEMICONDUCTORS AND EQUIPMENT
IWMS-1,SOUTHERN COPPER CORP,84265V105,SCCO,795,31275.30 ,METALS AND MINING
IWMS-1,THERMO FISHER SCIENTIFIC INC COM,883556102,TMO,520,91275.60 ,HEALTH CARE PROVIDERS AND SVCS
IWMS-1,TWENTY-FIRST CENTURY FOX  INC A,90130A101,FOXA,5840,169944.00 ,MEDIA
IWMS-1,VERTEX PHARMACEUTICALS,92532F100,VRTX,645,97923.90 ,PHAMACEUTICALS
IWMS-1,VISA INC,92826C839,V,2190,218036.40 ,IT SERVICES
IWMS-1,ZAYO GROUP HOLDINGS  INC,98919V105,ZAYO,2350,77056.50 ,IT SERVICES
IWMS-1,WEATHERFORD INTERNATIONAL PL,G48833100,WFT,100,446.00 ,ENERGY EQUIPMENT AND SERVICE
IWMS-1,NIELSEN HOLDINGS PLC,G6518L108,NLSN,2950,126879.50 ,OTHER INDUSTRIALS
IWMS-2,ALLEGIANT TRAVEL CO,01748X102,ALGT,385,49761.25 ,AIRLINES
IWMS-2,BALCHEM CORP,57665200,BCPC,1002,77755.20 ,CHEMICALS
IWMS-2,BARNES GROUP INC,67806109,B,1067,64212.06 ,MACHINERY
IWMS-2,CARETRUST REIT  INC,14174T107,CTRE,3398,61979.52 ,EQUITY REITS
IWMS-2,CAVIUM INC,14964U108,CAVM,828,51286.32 ,SEMICONDUCTORS AND EQUIPMENT
IWMS-2,COPART INC COM,217204106,CPRT,3460,108955.40 ,OTHER INDUSTRIALS
IWMS-2,CORNERSTONE ONDEMAND INC,21925Y103,CSOD,1786,71993.66 ,SOFTWARE
