Account_Number,Manager_Name,Account_Name,Asset_Type
LC1F30013002,ASB,ASB S&P 500 INDEX FD,PRIVATE EQUITY
NPSF40033002,ASB,ASB S&P 500 INDEX FD,PRIVATE EQUITY
NPSF40011002,BERENS CAPITAL,BERENS CAPITAL,PRIVATE EQUITY
NPSF20012002,BLACKROCK,BLACKROCK,FIXED INCOME SECURITIES
LC1F10010002,CAMBIAR,CAMBIAR,CASH & CASH EQUIVALENTS
NPSF10010002,CAMBIAR,CAMBIAR,CASH & CASH EQUIVALENTS
NPSF40046002,CARLYLE,CARLYLE PVT EQUITY,CASH & CASH EQUIVALENTS
NPSF10028002,COLUMBIA,COLUMBIA LC GROWTH,CASH & CASH EQUIVALENTS
NPSF40014002,CRAMER ROSENTHAL,CRAMER ROSENTHAL,PRIVATE EQUITY
NPSF10019002,DELAWARE,DELAWARE,EQUITY
LC1F40020002,DELAWARE,DELAWARE INTL,EQUITY
NPSF30017002,DELAWARE,DELAWARE INTL,EQUITY
LC1F10029002,DELAWARE,DELAWARE SC VALUE,EQUITY
NPSF08139602,EB DV,EB DV EM STOCK INDEX,EQUITY
LC1F08139502,EB DV,EB DV N SL EMG MK FD,EQUITY
NPSF40019002,FHLB BLDNG,FHLB BLDNG,REAL ESTATE
LC1F10028002,FOUNDRY PRT,FOUNDRY PRT MC VALUE,EQUITY
NPSF10037002,FOUNDRY PRT,FOUNDRY PRT MC VALUE,EQUITY
NPSF30011002,GLOBAL CURRENTS INV,GLOBAL CURRENTS INV,CASH & CASH EQUIVALENTS
NPSF40029002,GOLDMAN SACHS LP,GOLDMAN SACHS LP,PRIVATE EQUITY
NPSF40041002,GROSVENOR,GROSVENOR,ALTERNATIVE INVESTMENTS
NPSF30015002,HARDING LOEVNER ADRS,HARDING LOEVNER ADRS,EQUITY
LC1F30010002,HIGH YIELD,HIGH YIELD,FIXED INCOME SECURITIES
LC1F10014002,INVESCO,INVESCO,CASH & CASH EQUIVALENTS
NPSF40013002,INVESCO,INVESCO FUND,PRIVATE EQUITY
NPSF40024002,JHF IMMEDIATE,JHF IMMEDIATE,FIXED INCOME SECURITIES
NPSF40015002,LIGHTSPEED VENTURE,LIGHTSPEED VENTURE,PRIVATE EQUITY
LC1F50010002,LUCS,LUCS CASH ACCT,CASH & CASH EQUIVALENTS
LC1F08139002,MCMORGAN,MCM LARGE CAP GROWTH,EQUITY
NPSF08138802,MCMORGAN,MCM LARGE CAP GROWTH,EQUITY
LC1F08139102,MCMORGAN,MCM LARGE CAP VALUE,EQUITY
NPSF08138902,MCMORGAN,MCM LARGE CAP VALUE,EQUITY
NPSF10034002,MCMORGAN,MCM MID CAP GROWTH,EQUITY
NPSF10013002,MCMORGAN,MCM MID CAP INDEX,EQUITY
NPSF10033002,MCMORGAN,MCM MID CAP VALUE,EQUITY
NPSF08138302,MCMORGAN,MCM MSCI ACWI EX-US,EQUITY
NPSF10014002,MCMORGAN,MCM SMALL CAP INDEX,EQUITY
NPSF40038002,MCMORGAN,MCMORGAN INFRA LP,PRIVATE EQUITY
NPSF40021002,MEPT,MEPT,REAL ESTATE
NPSF40022002,MERCY MEDICAL,MERCY MEDICAL,REAL ESTATE
NPSF40018002,MESIROW,MESIROW INST,ALTERNATIVE INVESTMENTS
LC1F30017002,MESIROW,MESIROW STRT FND LP,ALTERNATIVE INVESTMENTS
NPSF10025002,MET WEST,MET WEST,CASH & CASH EQUIVALENTS
NPSF20015002,MET WEST,MET WEST CORE FIXED,FIXED INCOME SECURITIES
NPSF40028002,MISC PHYSICALS,MISC PHYSICALS,EQUITY
LC1F10012002,NFJ,NFJ,CASH & CASH EQUIVALENTS
NPSF10016002,NFJ,NFJ,CASH & CASH EQUIVALENTS
NPSF10027002,NFJ,NFJ LARGE CAP,CASH & CASH EQUIVALENTS
NPSF50010002,NPF CASH ACCT,NPF CASH ACCT,EQUITY
LC1F20010002,PACIFIC INC AD,PACIFIC INC AD,EQUITY
NPSF30010002,PHILA INTL ADV,PHILA INTL ADV,CASH & CASH EQUIVALENTS
LC1F30018002,PRIVATE ADVISORS,PRIV ADV HEDGED EQ,ALTERNATIVE INVESTMENTS
NPSF40040002,PRIVATE ADVISORS,PRIVATE ADV SM PE VI,PRIVATE EQUITY
NPSF40012002,PRIVATE ADVISORS,PRIVATE ADVISORS,ALTERNATIVE INVESTMENTS
NPSF40049002,RENAISSANCE,RENAISSANCE INSTL EQ,CASH & CASH EQUIVALENTS
LC1F20012002,SAGE ADVISORY,SAGE ADVISORY,CASH & CASH EQUIVALENTS
NPSF40023002,SANDIA MTG,SANDIA MTG,REAL ESTATE
NPSF20011002,SEIX ADV HIGH YLD,SEIX ADV HIGH YLD,FIXED INCOME SECURITIES
LC1F08125202,SHEET METAL MID CAP,SHEET METAL MID CAP,EQUITY
NPSF40042002,SIGULER GUFF,SIGULER GUFF DISTRES,PRIVATE EQUITY
NPSF40043002,SIGULER GUFF,SIGULER GUFF DREOFII,PRIVATE EQUITY
NPSF40037002,SMALL CO BUYOUT V,SMALL CO BUYOUT V,PRIVATE EQUITY
LC1F10021002,THORNBURG,THORNBURG ADRS,CASH & CASH EQUIVALENTS
NPSF40036002,TOWNSEND,TOWNSEND RE ALPHA,REAL ESTATE
NPSF40025002,ULLICO,ULLICO LOCAL 38,OTHER
NPSF40045002,ULLICO,ULLICO SEP ACCT J,OTHER
NPSF30016002,VANGUARD,VANGUARD EAFE,CASH & CASH EQUIVALENTS
LC1F40010002,VANGUARD,VANGUARD EAFE,EQUITY
LC1F30019002,VICTORY TRIV,VICTORY TRIV INTL SC,EQUITY
NPSF40047002,VICTORY TRIV,VICTORY TRIV INTL SC,EQUITY
NPSF10017002,WALL STREET,WALL STREET,CASH & CASH EQUIVALENTS
NPSF30018002,WAMCO,WAMCO SMA,EQUITY
LC1F20013002,WESTERN,WESTERN CORE PLUS FI,FIXED INCOME SECURITIES
LC1F10011002,WESTFIELD,WESTFIELD,EQUITY
NPSF10018002,WESTFIELD,WESTFIELD CAPITAL,EQUITY
LC1F10016002,WESTFIELD,WESTFIELD LG CAP,CASH & CASH EQUIVALENTS
NPSF10021002,WESTFIELD,WESTFIELD LG CAP,CASH & CASH EQUIVALENTS
