ACCOUNT_ID,SECURITY_NAME,CUSIP,TICKER,SHARES,MARKET_VALUE
3040037313,GOLDMAN SACHS FIN SQ GOVT FD #466 - ADMIN SHS,38141W265,FOAXX,583823.99,583823.99
3040037313,ABBOTT LABORATORIES COM,2824100,ABT,1680,76708.8
3040037313,ABBVIE INC,00287Y109,ABBV,3420,225788.4
3040037313,ALPHABET INC CL A,02079K305,GOOGL,530,523157.7
3040037313,APPLE INC,37833100,AAPL,3280,501052.8
3040037313,AUTOZONE INC,53332102,AZO,160,96947.2
3040037313,BERKSHIRE HATHAWAY INC-CL B,84670702,BRK/B,1020,168585.6
3040037313,BROADRIDGE FINL SOLUTIONS,11133T103,BR,1890,143432.1
3040037313,CBOE HOLDINGS INC,12503M108,CBOE,1180,101916.6
3040037313,CELGENE CORP,151020104,CELG,1990,227675.9
3040037313,CITRIX SYSTEMS INC,177376100,CTXS,1140,94095.6
3040037313,COCA-COLA,191216100,KO,6000,272820
3040037313,COMCAST CORP-CL A,20030N101,CMCSA,7310,304753.9
3040037313,COOPER COS INC,216648402,COO,680,148750
3040037313,COSTCO WHOLESALE CORP NEW,22160K105,COST,1000,180430
3040037313,DANAHER CORP,235851102,DHR,1900,161386
3040037313,DELL TECHNOLOGIES INC CL V,24703L103,DVMT,491,34070.49
3040037313,DISNEY WALT CO NEW,254687106,DIS,2800,302232
3040037313,DR PEPPER SNAPPLE GROUP,2.61E+113,DPS,1890,175410.9
3040037313,ECOLAB INC,2.79E+08,ECL,1610,213872.4
3040037313,EXPEDITORS INTL WASH INC,302130109,EXPD,3960,211384.8
3040037313,FASTENAL CO,311900104,FAST,2750,118717.5
3040037313,FEDEX CORP CORPORATION,31428X106,FDX,570,110488.8
3040037313,F5 NETWORKS INC,315616102,FFIV,1150,147349.5
3040037313,FORTIVE CORP,34959J108,FTV,1580,98671
3040037313,HOME DEPOT INC,437076102,HD,1690,259431.9
3040037313,HONEYWELL INTERNATIONAL INC,438516106,HON,1890,251351.1
3040037313,ILLINOIS TOOL WKS INC,452308109,ITW,1010,142632.2
3040037313,INTEL CORP,458140100,INTC,6100,220271
3040037313,JOHNSON & JOHNSON,478160104,JNJ,1840,235980
3040037313,LABORATORY CORP AMERICA HOLDINGS,50540R409,LH,1400,194600
3040037313,MARSH & MCLENNAN COS INC,571748102,MMC,3000,232680
3040037313,MASTERCARD INC,57636Q104,MA,2270,278937.6
3040037313,MCCORMICK & CO INC,579780206,MKC,2350,244752.5
3040037313,MCDONALDS CORP,580135101,MCD,1430,215772.7
3040037313,MICROSOFT CORP,594918104,MSFT,6460,451166.4
3040037313,NIKE INC,654106103,NKE,5120,271308.8
3040037313,OMNICOM GROUP,681919106,OMC,1080,90417.6
3040037313,ORACLE CORP CORPORATION,68389X105,ORCL,3640,165219.6
3040037313,SCHEIN HENRY INC,806407102,HSIC,710,130618.7
3040037313,STARBUCKS CORP,855244109,SBUX,3710,235993.1
3040037313,TJX COS INC,872540109,TJX,3240,243680.4
3040037313,3M CO,88579Y101,MMM,770,157441.9
3040037313,UNION PACIFIC CORP COM,907818108,UNP,880,97064
3040037313,UNITEDHEALTH GROUP INC,91324P102,UNH,1410,247003.8
3040037313,VARIAN MEDICAL SYSTEMS INC,92220P105,VAR,1350,133677
3040037313,VERIZON COMMUNICATIONS,92343V104,VZ,3950,184228
3040037313,VERISK ANALYTICS INC,92345Y106,VRSK,2820,228109.8
