Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
LC1F30017002,999117898,MESIROW INSTITUTIONAL MULTI-,7991068 ,7991068.25 
LC1F30018002,99VVBAR72,PRIVATE ADVISORS HEDGED EQUITY,6000 ,5934420.00 
LC1F10011002,996229407,EB TEMP INV FD,436637 ,436636.60 
LC1F10026002,996229407,EB TEMP INV FD,845331 ,845330.93 
LC1F08125202,996229407,EB TEMP INV FD,2719 ,2719.42 
LC1F10028002,996229407,EB TEMP INV FD,370041 ,370041.48 
LC1F20010002,996229407,EB TEMP INV FD,160853 ,160853.45 
LC1F50010002,996229407,EB TEMP INV FD,9822304 ,9822304.22 
LC1F40020002,996229407,EB TEMP INV FD,546457 ,546456.79 
LC1F40010002,996229407,EB TEMP INV FD,38845 ,38844.68 
LC1F10029002,996229407,EB TEMP INV FD,98397 ,98397.07 
LC1F40020002,000375204,ABB LTD,14536 ,366743.28 
LC1F10026002,00130H105,AES CORP/VA,19900 ,237805.00 
LC1F10026002,00287Y109,ABBVIE INC,5900 ,393589.00 
LC1F10011002,00434H108,ACCELERON PHARMA INC,6200 ,170810.00 
LC1F10011002,00461U105,ACLARIS THERAPEUTICS INC,6740 ,158727.00 
LC1F10011002,005098108,ACUSHNET HOLDINGS CORP,8270 ,157543.50 
LC1F10026002,00724F101,ADOBE SYSTEMS INC,4200 ,593796.00 
LC1F10028002,00770F104,AEGION CORP,1825 ,37011.00 
LC1F10029002,012653101,ALBEMARLE CORP,634 ,71870.24 
LC1F10029002,014491104,ALEXANDER & BALDWIN INC,1850 ,75165.50 
LC1F10028002,01748H107,ALLEGIANCE BANCSHARES INC,775 ,29953.75 
LC1F40020002,018805101,ALLIANZ SE,15758 ,303278.47 
LC1F10028002,020409108,ALMOST FAMILY INC,950 ,55765.00 
LC1F10029002,02208R106,ALTRA INDUSTRIAL MOTION CORP,2186 ,95528.20 
LC1F10029002,025676206,AMERICAN EQUITY INVESTMENT LIF,4438 ,112947.10 
LC1F10026002,03076C106,AMERIPRISE FINANCIAL INC,3200 ,394016.00 
LC1F10026002,031162100,AMGEN INC,1900 ,296856.00 
LC1F10026002,039483102,ARCHER-DANIELS-MIDLAND CO,6200 ,259284.00 
LC1F10029002,043436104,ASBURY AUTOMOTIVE GROUP INC,659 ,37958.40 
LC1F10026002,05561Q201,BOK FINANCIAL CORP,2400 ,195168.00 
LC1F40020002,055622104,BP PLC,9154 ,331740.96 
LC1F10011002,05591B109,BMC STOCK HOLDINGS INC,10890 ,217255.50 
LC1F10026002,05946K101,BANCO BILBAO VIZCAYA ARGENTARI,51042 ,416502.72 
LC1F40020002,05964H105,BANCO SANTANDER SA,34468 ,226110.08 
LC1F10026002,060505104,BANK OF AMERICA CORP,20300 ,459389.00 
LC1F10029002,062540109,BANK OF HAWAII CORP,1721 ,135494.33 
LC1F10028002,06424J103,BANK OF COMMERCE HOLDINGS,2000 ,21900.00 
LC1F10028002,066849100,BAR HARBOR BANKSHARES,1162 ,34011.74 
LC1F10029002,067806109,BARNES GROUP INC,1810 ,103785.40 
LC1F10028002,068463108,BARRETT BUSINESS SERVICES INC,1125 ,65058.75 
LC1F10026002,071813109,BAXTER INTERNATIONAL INC,9300 ,558000.00 
LC1F10028002,077347300,BEL FUSE INC,839 ,20933.05 
LC1F10011002,08579W103,BERRY GLOBAL GROUP INC,6260 ,367023.80 
LC1F10029002,08579W103,BERRY GLOBAL GROUP INC,4341 ,254512.83 
LC1F10028002,091826107,BLACK BOX CORP,3065 ,24979.75 
LC1F10029002,092113109,BLACK HILLS CORP,1774 ,124783.16 
LC1F10029002,101119105,BOSTON PRIVATE FINANCIAL HOLDI,5444 ,81387.80 
LC1F10029002,105368203,BRANDYWINE REALTY TRUST,6960 ,121730.40 
LC1F10011002,109194100,BRIGHT HORIZONS FAMILY SOLUTIO,3690 ,287783.10 
LC1F10011002,11133B409,BROADSOFT INC,4120 ,169950.00 
LC1F10029002,111621306,BROCADE COMMUNICATIONS SYSTEMS,2279 ,28897.72 
LC1F10011002,117043109,BRUNSWICK CORP/DE,2975 ,167224.75 
LC1F10028002,125141101,CECO ENVIRONMENTAL CORP,6675 ,63345.75 
LC1F10028002,12618T105,CRA INTERNATIONAL INC,1525 ,53100.50 
LC1F20010002,12673P105,CA INC,8 ,254.96 
LC1F10029002,12685J105,CABLE ONE INC,106 ,77426.64 
LC1F40020002,138006309,CANON INC,8695 ,305368.40 
LC1F10028002,139674105,CAPITAL CITY BANK GROUP INC,2375 ,45718.75 
LC1F10011002,14159U301,CARDIOME PHARMA CORP,37590 ,152615.40 
LC1F10029002,148806102,CATALENT INC,789 ,28703.82 
LC1F10011002,14964U108,CAVIUM INC,3180 ,230709.00 
LC1F10028002,150838100,CELADON GROUP INC,9475 ,19897.50 
LC1F10028002,156492100,CENTURY CASINOS INC,2625 ,20737.50 
LC1F10028002,156504300,CENTURY COMMUNITIES INC,1975 ,50066.25 
LC1F10029002,163072101,CHEESECAKE FACTORY INC/THE,1595 ,94424.00 
LC1F40020002,16941M109,CHINA MOBILE LTD,5832 ,323326.08 
LC1F10029002,169905106,CHOICE HOTELS INTERNATIONAL IN,1506 ,98643.00 
LC1F10011002,171779309,CIENA CORP,8240 ,224045.60 
LC1F10029002,17243V102,CINEMARK HOLDINGS INC,2424 ,98268.96 
LC1F10029002,172755100,CIRRUS LOGIC INC,1361 ,92520.78 
LC1F10029002,18538R103,CLEARWATER PAPER CORP,785 ,36855.75 
LC1F10028002,186873105,CLIFTON BANCORP INC,1500 ,24495.00 
LC1F10026002,191216100,COCA-COLA CO/THE,6700 ,306793.00 
LC1F10011002,198287203,COLUMBIA PROPERTY TRUST INC,7740 ,168886.80 
LC1F10028002,199333105,COLUMBUS MCKINNON CORP/NY,2400 ,64080.00 
LC1F10029002,20337X109,COMMSCOPE HOLDING CO INC,3461 ,130029.77 
LC1F10029002,203607106,COMMUNITY BANK SYSTEM INC,2053 ,112894.47 
LC1F10028002,20369C106,COMMUNITY HEALTHCARE TRUST INC,1550 ,38843.00 
LC1F10011002,20369C106,COMMUNITY HEALTHCARE TRUST INC,2960 ,74177.60 
LC1F10011002,204166102,COMMVAULT SYSTEMS INC,3500 ,197750.00 
LC1F10028002,205826209,COMTECH TELECOMMUNICATIONS COR,4550 ,68022.50 
LC1F10028002,206710402,CONCURRENT COMPUTER CORP,2550 ,17646.00 
LC1F10028002,20676Y403,CONDOR HOSPITALITY TRUST INC,2435 ,24739.60 
LC1F10029002,218681104,CORE-MARK HOLDING CO INC,1871 ,65316.61 
LC1F10011002,22160N109,COSTAR GROUP INC,1000 ,262160.00 
LC1F10026002,222070203,COTY INC,7200 ,139104.00 
LC1F10028002,22284P105,COVENANT TRANSPORTATION GROUP,2575 ,47766.25 
LC1F10028002,223622606,COWEN INC,3400 ,51510.00 
LC1F10028002,227483104,CROSS COUNTRY HEALTHCARE INC,4675 ,55258.50 
LC1F10026002,229899109,CULLEN/FROST BANKERS INC,2300 ,214544.00 
LC1F10028002,230215105,CULP INC,675 ,21971.25 
LC1F40020002,233825207,DAIMLER AG,2879 ,210742.80 
LC1F10026002,235851102,DANAHER CORP,3850 ,331485.00 
LC1F10028002,245077102,DEL FRISCO'S RESTAURANT GROUP,2425 ,41710.00 
LC1F10029002,248019101,DELUXE CORP,1084 ,75435.56 
LC1F40020002,251566105,DEUTSCHE TELEKOM AG,15183 ,294519.83 
LC1F10011002,252131107,DEXCOM INC,2870 ,191859.50 
LC1F10028002,253827109,DIGIRAD CORP,3175 ,12382.50 
LC1F10028002,253922108,DIME COMMUNITY BANCSHARES INC,3250 ,63050.00 
LC1F10026002,260543103,DOW CHEMICAL CO/THE,6000 ,376560.00 
LC1F10029002,262037104,DRIL-QUIP INC,1023 ,51508.05 
LC1F10028002,264147109,DUCOMMUN INC,1455 ,46618.20 
LC1F40020002,26874R108,ENI SPA,11479 ,368016.74 
LC1F10026002,26884L109,EQT CORP,4340 ,243777.80 
LC1F10029002,27579R104,EAST WEST BANCORP INC,6318 ,347110.92 
LC1F10011002,27579R104,EAST WEST BANCORP INC,3530 ,193938.20 
LC1F10029002,28140H203,EDUCATION REALTY TRUST INC,1637 ,63089.98 
LC1F10029002,283677854,EL PASO ELECTRIC CO,1850 ,101010.00 
LC1F10011002,28470R102,ELDORADO RESORTS INC,15538 ,323967.30 
