Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
LC1F40020002,000375204,ABB LTD,"14,536.000","379,825.68"
NPSF30017002,000375204,ABB LTD,"171,246.000","4,474,657.98"
NPSF10033002,001084102,AGCO CORP,"11,693.000","801,789.01"
NPSF20012002,00108WAA8,AEP TEXAS INC 144A,"50,000.000","49,567.00"
LC1F10026002,00130H105,AES CORP/VA,"19,900.000","211,537.00"
NPSF10035002,00130H105,AES CORP/VA,"106,300.000","1,129,969.00"
NPSF30018002,00130HBU8,AES CORP/VA,"70,000.000","73,150.00"
NPSF30018002,00130HBW4,AES CORP/VA,"200,000.000","211,500.00"
NPSF30015002,001317205,AIA GROUP LTD,"185,110.000","5,571,070.56"
NPSF10033002,00164V103,AMC NETWORKS INC,"3,201.000","162,866.88"
NPSF10034002,00164V103,AMC NETWORKS INC,"4,921.000","250,380.48"
NPSF10030002,001744101,AMN HEALTHCARE SERVICES INC,"21,945.000","963,385.50"
NPSF20012002,00185AAK0,AON PLC,"220,000.000","230,938.40"
NPSF20012002,00206RAE2,AT&T INC 144A,"1,000,000.000","853,370.00"
LC1F20010002,00206RAM4,AT&T INC,"140,000.000","142,721.60"
NPSF30018002,00206RCN0,AT&T INC,"700,000.000","691,159.00"
NPSF20015002,00206RCQ3,AT&T INC,"520,000.000","490,505.60"
NPSF30018002,00206RDJ8,AT&T INC,"83,000.000","75,336.61"
NPSF20015002,00206RDJ8,AT&T INC,"215,000.000","195,149.05"
NPSF30018002,00206RDQ2,AT&T INC,"50,000.000","51,313.00"
NPSF20015002,00206RDS8,AT&T INC,"245,000.000","255,878.00"
LC1F20010002,00206REK4,AT&T INC,"220,000.000","218,508.40"
NPSF30018002,00206REM0,AT&T INC,"390,000.000","388,440.00"
NPSF20012002,00206REM0,AT&T INC,"50,000.000","49,800.00"
NPSF30018002,00206REN8,AT&T INC,"80,000.000","79,830.40"
NPSF10033002,002535300,AARON'S INC,"10,979.000","404,027.20"
NPSF20012002,002824BD1,ABBOTT LABORATORIES,"80,000.000","81,248.80"
LC1F20010002,002824BE9,ABBOTT LABORATORIES,"220,000.000","225,656.20"
NPSF20015002,002824BF6,ABBOTT LABORATORIES,"345,000.000","355,867.50"
NPSF30018002,002824BF6,ABBOTT LABORATORIES,"170,000.000","175,355.00"
NPSF30018002,002824BG4,ABBOTT LABORATORIES,"80,000.000","88,027.20"
NPSF30018002,002824BH2,ABBOTT LABORATORIES,"150,000.000","168,436.50"
LC1F10026002,00287Y109,ABBVIE INC,"5,900.000","532,475.00"
NPSF10035002,00287Y109,ABBVIE INC,"31,400.000","2,833,850.00"
NPSF30018002,00287YAQ2,ABBVIE INC,"200,000.000","205,590.00"
NPSF20015002,00287YAS8,ABBVIE INC,"325,000.000","352,602.25"
NPSF20012002,00287YAX7,ABBVIE INC,"70,000.000","70,271.60"
NPSF10034002,003654100,ABIOMED INC,"6,105.000","1,177,776.60"
NPSF20015002,00400VAB3,ACADEMIC LOAN FUNDI 1A A2 144A,"400,000.000","399,760.00"
LC1F10026002,00404A109,ACADIA HEALTHCARE CO INC,"7,330.000","229,868.80"
NPSF10034002,00404A109,ACADIA HEALTHCARE CO INC,"2,470.000","77,459.20"
NPSF10033002,00404A109,ACADIA HEALTHCARE CO INC,"11,592.000","363,525.12"
NPSF10035002,00404A109,ACADIA HEALTHCARE CO INC,"39,100.000","1,226,176.00"
LC1F10011002,00434H108,ACCELERON PHARMA INC,"5,920.000","230,880.00"
NPSF10018002,00434H108,ACCELERON PHARMA INC,"35,290.000","1,376,310.00"
NPSF30018002,00434NAB1,WILLIAMS PARTNERS LP / ACMP FI,"350,000.000","367,041.50"
NPSF30018002,00440EAT4,CHUBB INA HOLDINGS INC,"60,000.000","60,454.20"
NPSF30018002,00440EAV9,CHUBB INA HOLDINGS INC,"70,000.000","71,931.30"
NPSF10030002,004449104,ACHAOGEN INC,"24,793.000","315,366.96"
NPSF10034002,004498101,ACI WORLDWIDE INC,"7,873.000","189,581.84"
